Lobbyist,Client,Position,Start date,End date,Bill #,Subject
"Cassell, Jennifer M",Arapahoe County,Supporting,01/22/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Laws, Summer",Boulder County,Supporting,01/11/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Kelly-Bowry, Tanya",CITY AND COUNTY OF DENVER,Supporting,02/07/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
Capitol Success Group,COLO BEHAVIORAL HEALTHCARE COUNCIL,Monitoring,01/30/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Political Advocacy, Inc",COLORADO ASSOCIATION OF SCHOOL EXECUTIVES,Monitoring,01/20/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Stern, Ellen Steiner",Children's Hospital Colorado,Supporting,01/31/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Retzko, Heather",City and County of Denver,Supporting,02/07/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
The Policy Matters,City and County of Denver,Supporting,02/07/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"waligorski, lydia",Clayton Early Learning,Supporting,01/30/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
Cavan Consulting,Colorado Association of Family and Children's Agencies (CAFCA),Amending,03/15/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"JLH Consulting & Public Affairs, LLC",Colorado Association of Health Plans,Monitoring,02/12/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Schultz Public Affairs, LLC",Colorado Association of Local Public Health Officials (CALPHO),Supporting,02/20/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Schultz Public Affairs, LLC",Colorado Association of Local Public Health Officials (CALPHO),Supporting,02/20/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Sonn, Edie",Colorado Behavioral Healthcare Council,Monitoring,01/29/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
Swift Strategies LLC,Colorado Behavioral Healthcare Council,Monitoring,01/29/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Server, Matthew Kenneth",Colorado Catholic Conference,Supporting,01/30/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Vessely, Brittany Lena",Colorado Catholic Conference,Supporting,01/30/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"First, Katherine C.",Colorado Counties Inc,Supporting,01/26/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Mendez, Barkis and Associates",Colorado Court Appointed Special Advocates,Monitoring,01/11/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Pitlik, Amy",Colorado Court Appointed Special Advocates,Monitoring,01/11/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Raynes, Meghan",Colorado Education Association,Monitoring,01/12/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
BRANDEBERRY MCKENNA PUBLIC AFFAIRS,Colorado Hospital Association,Supporting,01/12/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"BRANDEBERRY, JENIFER",Colorado Hospital Association,Supporting,01/12/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Frazier, Bridget",Colorado Hospital Association,Supporting,01/12/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"MCKENNA, JULIE",Colorado Hospital Association,Supporting,01/12/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Mizer, Susanna",Colorado Hospital Association,Supporting,01/25/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Mendez, Barkis and Associates",Colorado Psychiatric Society,Supporting,02/23/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Mendez, Florangel M",Colorado Psychiatric Society,Supporting,02/23/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Weaver-Hayes, Anna",Colorado Psychiatric Society,Supporting,02/20/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Mendez, Barkis and Associates",Colorado Public Health Association,Monitoring,02/05/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Pitlik, Amy",Colorado Public Health Association,Monitoring,02/05/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Gold Leaf Strategies, LLC",Colorado Rural Schools Alliance,Monitoring,01/15/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
Emma Hudson Consulting LLC,Colorado Society of School Psychologists,Supporting,02/01/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
Denver Health,Denver Health,Supporting,01/30/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
Howes Wolf,Denver Health,Supporting,01/31/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Howes, Angela Baker",Denver Health,Supporting,01/31/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Harvey, Lauren",Denver Human Services,Supporting,02/05/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Barkis, Anne Katherine",Denver Public Schools,Supporting,02/01/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Mendez, Barkis and Associates",Denver Public Schools,Supporting,02/01/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Cornerstone Government Affairs, Inc.",Edera,Supporting,01/26/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Davisson, Megan Elizabeth",Edera,Supporting,01/26/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Lasseur, Lucy",Edera,Supporting,01/26/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Wagner Morgan Strategies, LLC",Florence Crittenton Services,Monitoring,01/26/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
Cavan Consulting,Fostering Colorado,Amending,03/15/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
Bowditch & Cassell Public Affairs,Gilpin County,Supporting,01/29/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Bowditch, Edward R",Gilpin County,Supporting,01/29/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Cassell, Jennifer M",Gilpin County,Supporting,01/29/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"GOFF, ERIN E",HCA - THE HEALTHCARE COMPANY,Monitoring,01/18/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"HACKENBERGER, MICKI M",HCA - THE HEALTHCARE COMPANY,Monitoring,01/18/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Hogan, Mary K",HCA Management Services,Monitoring,02/12/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Capitol Focus, LLC",HCA-THE HEALTHCARE COMPANY,Monitoring,01/23/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Gates, Landon",HCA-THE HEALTHCARE COMPANY,Monitoring,01/23/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Herzberg, Brock",HCA-THE HEALTHCARE COMPANY,Monitoring,01/23/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"LaBriola, Lisa",HCA-The Health Care Co,Monitoring,01/18/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Hackenberger, Carrie",HEALTHONE/HCA,Monitoring,01/18/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Navas, David",Health District of Northern Larimer County,Supporting,02/13/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Williams, Alyson Brozovich",Health District of Northern Larimer County,Supporting,02/13/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
Husch Blackwell Strategies,HealthONE/HCA,Monitoring,01/18/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Lo, Elizabeth",HealthOne (HCA),Monitoring,01/18/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Neimond, Kevin",HealthOne/HCA,Monitoring,01/18/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
BRANDEBERRY MCKENNA PUBLIC AFFAIRS,Healthier Colorado,Monitoring,01/22/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"BRANDEBERRY, JENIFER",Healthier Colorado,Monitoring,01/22/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"MCKENNA, JULIE",Healthier Colorado,Monitoring,01/22/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Fabricius, Jillian Adams",Illuminate Colorado,Monitoring,03/22/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Frontline Public Affairs (Miles Consulting, Inc.)",Illuminate Colorado,Monitoring,03/22/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Loutzenhiser, Alexis",Illuminate Colorado,Monitoring,03/22/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"MILES, JENNIFER L",Illuminate Colorado,Monitoring,03/22/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Ward, Lisa Ann",Illuminate Colorado,Monitoring,03/22/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Woodard, Kathryne Jade",Illuminate Colorado,Monitoring,03/22/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"The Capstone Group, LLC","Inseparable Action, Inc",Supporting,01/12/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Vanderburg, Jeannie","Inseparable Action, Inc",Supporting,01/12/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
Bowditch & Cassell Public Affairs,Jefferson County Human Services,Supporting,01/22/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Bowditch, Edward R",Jefferson County Human Services,Supporting,01/22/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Cassell, Jennifer M",Jefferson County Human Services,Supporting,01/22/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Anshus, Bridget Rose",Mental Health Colorado,Supporting,01/16/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Frontline Public Affairs (Miles Consulting, Inc.)","National Association of Social Workers, Colorado Chapter",Supporting,02/26/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"MILES, JENNIFER L","National Association of Social Workers, Colorado Chapter",Monitoring,02/26/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Rupp, Leanne Dixon","National Association of Social Workers, Colorado Chapter",Supporting,02/23/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Ward, Lisa Ann","National Association of Social Workers, Colorado Chapter",Supporting,02/26/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
Emma Hudson Consulting LLC,Oliver Behavioral Consultants,Supporting,02/04/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Barkis, Anne Katherine",The Arc of Colorado,Supporting,02/01/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Mendez, Barkis and Associates",The Arc of Colorado,Supporting,02/01/2024,06/30/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Zaslow, Zachary Aaron",Children's Hospital Colorado,Supporting,01/12/2024,06/12/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Van Stralen, Kara",Edera,Supporting,01/26/2024,06/08/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"APONTE, RUTH",American Academy of Pediatrics ( AAP),Supporting,01/12/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Aponte Public Affairs, Inc.",American Academy of Pediatrics ( AAP),Supporting,01/12/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Fearn, Austin",American Academy of Pediatrics (AAP),Supporting,02/01/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Hentze, Iris",American Academy of Pediatrics (AAP),Supporting,01/14/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"APONTE, RUTH",Children's Hospital Colorado (CHCO),Supporting,01/12/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Aponte Public Affairs, Inc.",Children's Hospital Colorado (CHCO),Supporting,01/12/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Fearn, Austin",Children's Hospital Colorado (CHCO),Supporting,02/01/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Fearn, Austin",Colorado Access (CA),Supporting,02/01/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Hentze, Iris",Colorado Access (CA),Supporting,05/01/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"APONTE, RUTH",Colorado Access (COA),Supporting,02/15/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Aponte Public Affairs, Inc.",Colorado Access (COA),Supporting,02/01/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Konkel, Shelbie Alexandra",Colorado Department of Education,,01/01/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Donlin, Johanna Michelle",Colorado Department of Health Care Policy and Financing,,01/01/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Hanson, Emily Stewart",Colorado Department of Human Services,,01/01/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Hanson, Emily Stewart",Colorado Department of Human Services,,03/01/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Hanson, Emily Stewart",Colorado Department of Human Services,,05/01/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Hanson, Emily Stewart",Colorado Department of Human Services,,05/01/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Riester, Jefferey",Colorado Department of Law,,04/01/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"APONTE, RUTH",Counties & Commissioners Acting Together (CCAT),Supporting,01/12/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Aponte Public Affairs, Inc.",Counties & Commissioners Acting Together (CCAT),Supporting,01/12/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Davidson, Thomas",Counties & Commissioners Acting Together (CCAT),Supporting,01/12/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Scanlan, Julia Therese",Counties and Commissioners Acting Together (CCAT),Supporting,01/12/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"APONTE, RUTH",Raise the Future,Supporting,01/30/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Aponte Public Affairs, Inc.",Raise the Future,Supporting,01/30/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Hentze, Iris",Raise the Future,Supporting,02/27/2024,05/31/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Ewing, Joshua",Colorado Hospital Association,Supporting,01/12/2024,05/16/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Allen, JoVanni Mytchl",Colorado Catholic Conference,Supporting,01/19/2024,05/09/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Raemdonck, Dieter",Colorado Catholic Conference,Supporting,01/19/2024,05/09/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Recht Kornfeld, P.C.",Colorado Catholic Conference,Supporting,01/19/2024,05/09/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Rogers, Thomas M",Colorado Catholic Conference,Supporting,01/19/2024,05/09/2024,HB24-1038,High-Acuity Crisis for Children and Youth
Colorado Legislative Strategies,"COUNTY OF WELD, COLORADO",Supporting,01/23/2024,05/08/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"LAYTON, MELANIE M.","COUNTY OF WELD, COLORADO",Supporting,01/23/2024,05/08/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"VORTHMANN, GARIN","COUNTY OF WELD, COLORADO",Supporting,01/23/2024,05/08/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Brouillard, Danee Hunzie",City and County of Broomfield,Supporting,02/06/2024,05/08/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Wood, Andrew T.","County of Weld, Colorado",Supporting,01/23/2024,05/08/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Woodhouse, Caroline","County of Weld, Colorado",Supporting,01/23/2024,05/08/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Snyder, Lauren Kristine",Mental Health Colorado,Supporting,01/16/2024,05/08/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Hickerson, Taylor",City and County of Denver,Supporting,02/07/2024,03/29/2024,HB24-1038,High-Acuity Crisis for Children and Youth
Cavan Consulting,Colorado Association of Family and Children's Agencies (CAFCA),Supporting,01/19/2024,03/15/2024,HB24-1038,High-Acuity Crisis for Children and Youth
Cavan Consulting,Fostering Colorado,Supporting,01/19/2024,03/15/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Mendez, Barkis and Associates",Colorado Psychiatric Society,Amending,01/22/2024,02/23/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Mendez, Florangel M",Colorado Psychiatric Society,Amending,01/22/2024,02/23/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Daley, Allison",Children's Hospital Colorado,Supporting,01/17/2024,02/20/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Weaver-Hayes, Anna",Colorado Psychiatric Society,Amending,01/23/2024,02/19/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"APONTE, RUTH",Colorado Access (COA),Monitoring,01/25/2024,02/15/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Navas, David",Health District of Northern Larimer County,Monitoring,01/25/2024,02/13/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Williams, Alyson Brozovich",Health District of Northern Larimer County,Monitoring,01/25/2024,02/13/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Aponte Public Affairs, Inc.",Colorado Access (COA),Monitoring,01/25/2024,02/01/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Weaver-Hayes, Anna",Colorado Psychiatric Society,Monitoring,01/15/2024,01/23/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Mendez, Barkis and Associates",Colorado Psychiatric Society,Monitoring,01/12/2024,01/22/2024,HB24-1038,High-Acuity Crisis for Children and Youth
"Mendez, Florangel M",Colorado Psychiatric Society,Monitoring,01/12/2024,01/22/2024,HB24-1038,High-Acuity Crisis for Children and Youth
Capitol Success Group,COLO BEHAVIORAL HEALTHCARE COUNCIL,Supporting,03/27/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Frontline Public Affairs (Miles Consulting, Inc.)",COLORADO COMMUNITY HEALTH NETWORK,Supporting,04/02/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"MILES, JENNIFER L",COLORADO COMMUNITY HEALTH NETWORK,Supporting,04/02/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
OnTheBallot Consulting,COMBINE,Supporting,03/12/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Sonn, Edie",Colorado Behavioral Healthcare Council,Supporting,03/27/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
Swift Strategies LLC,Colorado Behavioral Healthcare Council,Supporting,03/27/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Frontline Public Affairs (Miles Consulting, Inc.)",Colorado Center on Law and Policy,Supporting,03/29/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"MILES, JENNIFER L",Colorado Center on Law and Policy,Supporting,03/29/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Ward, Lisa Ann",Colorado Center on Law and Policy,Supporting,03/29/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Orrange Political Strategies, LLC",Colorado Community Health Alliance,Monitoring,04/02/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Anderson, Polly",Colorado Community Health Network,Supporting,04/02/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Brooks, Stephanie",Colorado Community Health Network,Supporting,04/02/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"McElwain, Kate",Colorado Community Health Network,Supporting,04/02/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Preuss, Shoshi",Colorado Community Health Network,Supporting,04/02/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Ward, Lisa Ann",Colorado Community Health Network,Supporting,04/02/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
BRANDEBERRY MCKENNA PUBLIC AFFAIRS,Colorado Hospital Association,Supporting,04/05/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"BRANDEBERRY, JENIFER",Colorado Hospital Association,Supporting,04/05/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Frazier, Bridget",Colorado Hospital Association,Supporting,04/05/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"MCKENNA, JULIE",Colorado Hospital Association,Supporting,04/05/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Novel Strategies, LLC",Colorado Long-Term Assistance Service Providers (CLASP),Supporting,03/28/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
REES CONSULTING AND PUBLIC AFFAIRS,Common Spirit,Supporting,04/05/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
August Policy Strategies,CommonSpirit,Supporting,04/05/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Capitol Focus, LLC",HCA-THE HEALTHCARE COMPANY,Monitoring,05/03/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Gates, Landon",HCA-THE HEALTHCARE COMPANY,Monitoring,05/03/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Herzberg, Brock",HCA-THE HEALTHCARE COMPANY,Monitoring,05/03/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Navas, David",Health District of Northern Larimer County,Monitoring,04/03/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Nuechterlein, Samantha Anne",Intermountain Healthcare,Supporting,04/11/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
Bowditch & Cassell Public Affairs,Jefferson County Human Services,Supporting,04/01/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Bowditch, Edward R",Jefferson County Human Services,Supporting,04/01/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Cassell, Jennifer M",Jefferson County Human Services,Supporting,04/01/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Groves, Shannon E",Kaiser Foundation Health Plan,Monitoring,04/22/2024,06/30/2024,HB24-1400,Medicaid Eligibility Procedures
"Donlin, Johanna Michelle",Colorado Department of Health Care Policy and Financing,,04/01/2024,05/31/2024,HB24-1400,Medicaid Eligibility Procedures
"Ewing, Joshua",Colorado Hospital Association,Supporting,04/05/2024,05/16/2024,HB24-1400,Medicaid Eligibility Procedures
"Ewing, Joshua",Colorado Hospital Association,Supporting,04/05/2024,05/16/2024,HB24-1400,Medicaid Eligibility Procedures
"Staberg, Christine R",Intermountain Healthcare,Supporting,04/11/2024,05/08/2024,HB24-1400,Medicaid Eligibility Procedures
"The Capstone Group, LLC",Intermountain Healthcare,Supporting,04/11/2024,05/08/2024,HB24-1400,Medicaid Eligibility Procedures
"Pray, Bethany Suzanne",Colorado Center on Law & Policy,Supporting,03/28/2024,04/18/2024,HB24-1400,Medicaid Eligibility Procedures
"Virtual Operations, LLC",Acupuncture Association of Colorado,Monitoring,01/28/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"Cook, Mariah Catherine",Adams County Regional Economic Partnership,Monitoring,04/09/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"Wager, Jacob W","Cigna Corporate Services, LLC",Monitoring,01/29/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
Clear Strategies,Colorado Chamber,Supporting,02/08/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"Dollar, Meghan",Colorado Chamber of Commerce,Supporting,02/08/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"FURMAN, LOREN RACHEL",Colorado Chamber of Commerce,Supporting,02/08/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"Adam, Fox Bennett",Colorado Consumer Health Initiative,Monitoring,03/25/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"Cruz, Isabel Ariel",Colorado Consumer Health Initiative,Monitoring,03/25/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
ProtoStrategies LLC,Colorado Consumer Health Initiative,Opposing,02/19/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"Capitol Focus, LLC",Colorado Employer Benefit Trust,Monitoring,01/30/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"Gates, Landon",Colorado Employer Benefit Trust,Monitoring,01/30/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"Herzberg, Brock",Colorado Employer Benefit Trust,Monitoring,01/30/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"J. Andrew Green & Assoc., Inc.",Colorado Springs Chamber of Commerce and EDC,Monitoring,01/22/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"Cook, Mariah Catherine",Colorado Women's Chamber of Commerce,Monitoring,01/29/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"Hanfling, Josh",Colorado Women's Chamber of Commerce,Monitoring,02/01/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
Sewald Hanfling Public Affairs,Colorado Women's Chamber of Commerce,Monitoring,01/29/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"Sewald, R.D.",Colorado Women's Chamber of Commerce,Monitoring,01/31/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
BRANDEBERRY MCKENNA PUBLIC AFFAIRS,Denver Metro Chamber of Commerce,Monitoring,01/27/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"BRANDEBERRY, JENIFER",Denver Metro Chamber of Commerce,Monitoring,01/27/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"MCKENNA, JULIE",Denver Metro Chamber of Commerce,Monitoring,01/27/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
Capitol Solutions/Sandra Hagen Solin,Early Childhood Educators Association of Colorado,Amending,02/05/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"Orrange Political Strategies, LLC","Elevance Health, and its Affiliates dba Anthem, Inc.",Opposing,03/21/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"WEISS, REBECCA L","Elevance Health, and its Affiliates dba Anthem, Inc.",Opposing,03/21/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"Espinoza, Angelique Renee",Good Business Colorado,Opposing,03/17/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
"Espinoza, Angelique Renee",Good Business Colorado,Monitoring,03/20/2024,06/30/2024,SB24-073,Maximum Number of Employees to Qualify as Small Employer
