billName,longTitle,Bill #,session,subjects,primeSponsors,committees,summary,approved,effective,vetoed
Support for Living Organ Donors,Concerning comprehensive support for organ donation by living organ donors.,HB24-1132,2024 Regular Session,"['Fiscal Policy & Taxes', 'Health Care & Health Insurance', 'Labor & Employment', 'Public Health', 'Transportation & Motor Vehicles']","['Manny Rutinel', 'Mary Bradfield', 'Janet Buckner']","{'House': ['Health & Human Services', 'Finance', 'Appropriations'], 'Senate': ['Finance', 'Appropriations']}","The act, the ""CARE for Living Organ Donors Act"", includes the following benefits and recognition for living organ donors: A list of provisions in current law, as well as in the act, that may benefit a living organ donor; and A requirement that, at least twice before performing an organ donation recovery operation on a living organ donor donating an organ without an intended recipient, a transplant center shall advise the potential donor that the transplant center or another transplant center in Colorado has or may have an organ voucher program or that a national-level organ voucher program exists or may exist for the organ being donated. Further, the act requires a transplant center to provide information to all organ donors and organ recipients about benefits that may be available at each transplant center in Colorado. The list must be updated at least annually. The act prohibits an employer from intimidating, threatening, coercing, discriminating, or retaliating against or taking an adverse action against an employee, as described in the act, for the period extending 30 days before and 90 days after the employee is or becomes a living organ donor. The act designates April 11 each year as ""Living Organ Donor Recognition Day"". ","June 3, 2024","June 3, 2024",False
Discounted Care for Indigent Patients,"Concerning health-care billing for indigent patients receiving services not reimbursed through the Colorado indigent care program, and, in connection therewith, making an appropriation.",SB24-116,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Janet Buckner', 'Iman Jodeh']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","Current law requires a health-care facility to screen each uninsured patient for eligibility for public health insurance programs, discounted care through the Colorado indigent care program (CICP), and discounted care otherwise not reimbursed through the CICP. A patient qualifies for discounted care if the individual's household income is not more than 250% of the federal poverty level and the individual received a health-care service at a health-care facility (facility). The act limits the health-care services to those received in an inpatient or outpatient hospital setting and adds the requirement that a patient attest to residing in Colorado. The licensed health-care professional who provides services to a patient is responsible for billing the patient for those services, unless the services are billed on a comprehensive bill issued by a health-care facility. Current law prohibits a health-care facility and licensed health-care professional (professional) from collecting amounts charged that are more than 4% of the patient's monthly household income on a bill from a facility and that are more than 2% of the patient's monthly household income on a bill from each professional. The act adds the requirement that a facility or professional cannot collect amounts charged that are more than 6% of the patient's household income on a comprehensive bill containing both facility and professional charges. The act authorizes a health-care facility to deny discounted care to a patient if, during the initial screening, the patient is determined to be presumptively eligible for medicaid. The act excludes primary care provided in a clinic that is located in a designated rural or frontier county and offers a sliding-fee scale from receiving discounted care. Current law requires each facility to report to the department of health care policy and financing (department) data that the department determines is necessary to evaluate compliance across race, ethnicity, age, and primary-language-spoken patient groups with the facility's screening, discounted care, payment plan, and collections practices. The act requires professionals, in addition to facilities, to submit the data. The act authorizes a licensed or certified hospital to determine presumptive eligibility for medicaid. For the 2024-25 state fiscal year, the act appropriates $154,598 from the healthcare affordability and sustainability fee cash fund to the department of health care policy and financing to implement the act. ","May 31, 2024","May 31, 2024",False
Sunset Suicide Prevention Commission,Concerning the continuation of the suicide prevention commission.,HB24-1252,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Stephanie Vigil', 'Mary Bradfield', 'Dafna Michaelson Jenet']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","The suicide prevention commission (commission) created in the department of public health and environment is scheduled to repeal on September 1, 2024. The act continues the commission until September 1, 2034. The act also adjusts the appointments to the commission and limits the number of members from the current 26 to 22. ","May 31, 2024","August 7, 2024",False
Remote Monitoring Services for Medicaid Members,"Concerning remote monitoring services for medicaid members, and, in connection therewith, making an appropriation.",SB24-168,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Dylan Roberts', 'Cleave Simpson', 'Julie McCluskie', 'Matthew Martinez']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","Beginning July 1, 2025, the act requires the department of health care policy and financing (state department) to provide reimbursement to certain medicaid members (member) for the use of telehealth remote monitoring for outpatient services. The department shall initiate a stakeholder process to determine the billing structure prior to providing reimbursement. The act creates the telehealth remote monitoring grant program to provide grants to outpatient health-care facilities located in a designated rural county or designated provider shortage area to assist with the costs of providing telehealth remote monitoring for outpatient clinical services. The state department may award up to five grants worth $100,000 each. Beginning November 1, 2025, the act requires the state department to provide coverage for continuous glucose monitors to medicaid medical and pharmacy benefit members. For the 2024-25 state fiscal year, the act appropriates $34,128 to the department of health care policy and financing to implement this act. ","May 29, 2024","August 7, 2024",False
Sharing of Patient Health-Care Information,"Concerning the dissemination of patient health-care information, and, in connection therewith, making an appropriation.",HB24-1217,2024 Regular Session,"['Health Care & Health Insurance', 'Human Services', 'Public Health']","['Judy Amabile', 'Naquetta Ricks', 'Kyle Mullica']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","The office of e-health innovation in the governor's office is required to convene a working group to determine the feasibility of creating a centralized digital consent repository that allows patients to provide, extend, deny, and revoke consent for sharing their medical data and information between physical and behavioral health-care providers, family members, community organizations, payers, and state agencies at any time. By January 1, 2026, the working group is required to submit a report including recommendations regarding the feasibility of creating the centralized digital consent repository to specified committees of the general assembly. On or before July 1, 2025, the behavioral health administration in the department of human services (department) is required to create a friends and family input form to allow an individual to provide a treating professional or a licensed or designated facility or organization with information related to a patient receiving mental health or substance use services. For the 2024-25 state fiscal year, $50,604 is appropriated to the department to implement the act. ","May 28, 2024","May 28, 2024",False
Behavioral Health Grant for Capital Project,"Concerning expanding the behavioral health-care continuum gap grant program to include a community investment grant for a new capital construction project, and, in connection therewith, making an appropriation.",HB24-1176,2024 Regular Session,"['Capital Construction', 'Health Care & Health Insurance']","['Eliza Hamrick', 'Iman Jodeh', 'Janet Buckner', 'Rhonda Fields']","{'House': ['Health & Human Services', 'Finance'], 'Senate': ['Health & Human Services', 'Appropriations']}",The act expands the behavioral health-care continuum gap grant program to include awarding a community investment grant for a new capital construction project. The act transfers $4 million from the general fund to the behavioral and mental health cash fund for purposes of the act. The act appropriates $4 million from the behavioral and mental health cash fund to the department of human services for the behavioral health-care continuum gap grant program related to integrated behavioral health services. ,"May 24, 2024","May 24, 2024",False
Firefighter Heart Benefits Trust,"Concerning the Colorado firefighter heart, cancer, and behavioral health benefits trust.",SB24-089,2024 Regular Session,"['Health Care & Health Insurance', 'Local Government']","['Robert Rodriguez', 'Lindsey Daugherty', 'Ron Weinberg']","{'House': ['Health & Human Services'], 'Senate': ['Local Government & Housing']}","The act removes the ability of most firefighter employers to select accident insurance, self-insurance, or a self-insurance pool as options to provide statutorily required monetary benefits to a firefighter who has experienced a heart and circulatory malfunction. As a result, all firefighter employers except for those exempted by the act must participate in a multiple employer health trust in order to provide such benefits. The act exempts firefighter employers that are cities and counties or municipalities that, as of July 2022, have a population of 400,000 or more and, as of April 30, 2024, have enacted an ordinance to provide the required monetary benefits that remains in effect. ","May 24, 2024","May 24, 2024",False
Licensing for Clinics That Provide Fertility Services,Concerning licensing issues for clinics that perform services related to fertility.,SB24-223,2024 Regular Session,"['Children & Domestic Matters', 'Health Care & Health Insurance']","['Steve Fenberg', 'Bob Gardner', 'Marc Snyder']","{'House': ['Finance', 'Appropriations'], 'Senate': ['Finance', 'Appropriations']}","Current law requires a gamete agency, gamete bank, or fertility clinic (clinic) to obtain a license from the department of public health and environment (department) on or after January 1, 2025, before the clinic may match or provide gametes or embryos to recipients in Colorado. The act extends this deadline to July 1, 2025. The act requires that a clinic located outside of Colorado shall not match intended recipients located in Colorado with donors, or provide gametes to a recipient parent or parents located in Colorado or to the recipient parent's medical provider located in Colorado, from a donor who does not agree to the disclosure of the donor's identity. The act adds a requirement that applicants for an original and renewal license must submit documentation to demonstrate compliance with licensing requirements. Subject to available appropriations, the department may, as it deems necessary, perform on-site inspections or complaint investigations of clinics located outside of Colorado. The act extends the deadline for rule-making regarding clinics from July 1, 2024, to January 1, 2025. The act requires that, beginning in fiscal year 2025-26, the general assembly annually appropriate $125,000 to the gamete agency, gamete bank, or fertility clinic fund. ","May 22, 2024","May 22, 2024",False
Mental Health Professionals Practice Requirements,Concerning requirements to practice as a mental health professional.,SB24-115,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Dafna Michaelson Jenet', 'Jim Smallwood', 'Mary Young', 'Emily Sirota']","{'House': ['Health & Human Services'], 'Senate': ['Health & Human Services']}","The act removes the requirement that a mental health professional provide each client with an explanation of the levels of regulation and the differences between licensure, registration, and certification of mental health professionals. The act removes the requirement for an individual to take and pass the board of social work examiners' masters examination in order to obtain a licensed social worker license. In order for an individual to obtain a registration as a psychologist candidate (PSYC), a clinical social worker candidate (SWC), a marriage and family therapist candidate (MFTC), a licensed professional counselor candidate (LPCC), or an addiction counselor candidate (ADDC), the act requires the individual to pass the Colorado jurisprudence examination. The act authorizes PSYCs, SWCs, MFTCs, LPCCs, and ADDCs to renew their candidate registrations if they are unable to complete all the post-degree licensure requirements within the 3-year time frame that a registration is valid and allows candidates whose registrations have expired to reapply for the registration. The act requires certain mental health professionals, prior to a renewal of a license or registration, to complete continuing professional development and educational hours. On or before December 31, 2024,the state board of psychologist examiners, the state board of social work examiners, the state board of marriage and family therapist examiners, the state board of licensed professional counselor examiners, and the state board of addiction counselor examiners are required to begin the rule-making process to align their respective rules with their respective practice acts. ","May 22, 2024","August 7, 2024",False
Dentist & Dental Hygienist Compact ,"Concerning the adoption of the dentist and dental hygienist compact, and, in connection therewith, making an appropriation.",SB24-010,2024 Regular Session,"['Health Care & Health Insurance', 'Professions & Occupations']","['Joann Ginal', 'Perry Will', 'Monica Duran', 'Anthony Hartsook']","{'House': ['Health & Human Services', 'Finance', 'Appropriations'], 'Senate': ['Health & Human Services', 'Finance', 'Appropriations']}","The act adopts the dentist and dental hygienist compact (compact) to facilitate the interstate practice of dentistry and dental hygiene. With the adoption of the compact, a dentist or dental hygienist who holds an active, unencumbered license in a participating state and does not have an encumbered license from any participating state may apply to another participating state (remote state) for a privilege to practice dentistry or dental hygiene, as applicable, (compact privilege) in that state. Under a compact privilege, the dentist or dental hygienist must practice within the scope of practice authorized for a dentist or dental hygienist licensed in the remote state and is subject to the remote state's licensing authority, which may, within the borders of the remote state, take adverse action against the dentist's or dental hygienist's compact privilege in order to protect the health and safety of its citizens. If a remote state, acting through its licensing authority, takes adverse action, the dentist's or dental hygienist's compact privilege in all remote states is removed until any restriction on the compact privilege is removed. Only the participating state in which the dentist or dental hygienist is licensed may take adverse action against the dental or dental hygienist's license; however, a remote state may take adverse action against the dentist's or dental hygienist's compact privilege in the remote state. The compact creates the dentist and dental hygienist compact commission (commission). The commission consists of one commissioner from each participating state who is selected by the state's licensing authority. The compact authorizes the commission to create the administrative structure for the compact, including granting the powers necessary to establish and operate the commission, adopt rules and bylaws, establish an executive committee, hire employees, establish an office, and conduct the commission's meetings. Further, the commission shall develop and maintain a coordinated database and reporting system to include significant investigatory information from participating states concerning the dentist's or dental hygienist's practice and to record any adverse action against the dentist or dental hygienist. To pay the costs associated with the compact, the compact authorizes the commission to levy and collect an annual assessment from each participating state and to impose fees on licensees for the granting or renewal of a compact privilege; except that an active military member or the member's spouse will not be required to pay the commission's fee for a compact privilege. The compact includes provisions governing disputes among participating states and between the commission and a participating state, enforcement provisions, and withdrawal of participating states from the compact. The compact is effective for participating states on the date on which the compact is enacted in the seventh participating state. For the 2024-25 state fiscal year, $78,750 is appropriated to the department of regulatory agencies from the division of professions and occupations cash fund for use by the department to implement the act. ","May 17, 2024","August 7, 2024",False
Insurance Coverage for Provider-Administered Drugs,"Concerning limitations on drugs covered under an individual's health insurance policy that are administered by a provider in a setting other than a hospital, and, in connection therewith, making an appropriation.",HB24-1010,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Iman Jodeh', 'Matt Soper', 'Dafna Michaelson Jenet', 'Perry Will']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","For the treatment of cancer or a life-threatening disease or for the treatment of a symptom, complication, or consequence of cancer or a life-threatening disease, the act prohibits a carrier, with respect to a health benefit plan issued on or after January 1, 2025, from: Requiring a provider-administered drug to be dispensed only by specific network pharmacies; If a provider-administered drug is otherwise covered by the carrier for the covered person, limiting or excluding coverage for the drug based on the covered person's choice of participating provider; Requiring a participating provider to bill for or be reimbursed for the delivery and administration of a provider-administered drug under the pharmacy benefit instead of the medical benefit without informed, written consent of the covered person and written attestation by the covered person's participating provider that a delay in the drug's administration will not place the covered person at an increased health risk; or Requiring a covered person to pay additional fees, copayments, or coinsurance based on the covered person's choice of pharmacy. The act also requires the reimbursement rate for covered provider-administered drugs to be at the carrier's in-network negotiated rate for participating providers. The act appropriates $7,333 to the department of regulatory agencies for use by the division of insurance from the division of insurance cash fund to implement the act. ",False,False,"May 17, 2024"
Physician Assistant Licensure Compact,"Concerning the enactment of the ""Physician Assistant Licensure Compact"", and, in connection therewith, making an appropriation.",SB24-018,2024 Regular Session,"['Business & Economic Development', 'Health Care & Health Insurance', 'Professions & Occupations', 'Public Health']","['Cleave Simpson', 'Dafna Michaelson Jenet', 'Judy Amabile', 'Ty Winter']","{'House': ['Health & Human Services', 'Finance', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations', 'Finance']}","The act enacts the ""Physician Assistant Licensure Compact"" (compact). The compact is designed to enable a physician assistant with a license in a state that has signed the compact (participating state) to more easily become authorized to practice in any other participating state. Participating states and physician assistants must meet specific conditions enumerated in the compact to participate in the compact. The compact allows only the participating state where a physician assistant is licensed to discipline the physician assistant, but allows a participating state where the physician assistant is practicing, but is not licensed, to revoke the physician assistant's authority to practice in that state. The act authorizes the Colorado medical board (board) to promulgate rules and to facilitate Colorado's participation in the compact, including notifying the Compact Commission (commission) established by the compact of any adverse action taken by the board against a physician assistant licensed in Colorado or practicing in Colorado under the compact. The commission includes a delegate from each participating state and has the powers and duties set forth in the act. The compact becomes effective on the date the compact is enacted in the seventh participating state. ","May 17, 2024","August 7, 2024",False
Diabetes Prevention & Obesity Treatment Act,"Concerning the ""Diabetes Prevention and Obesity Treatment Act"".",SB24-054,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Dafna Michaelson Jenet', 'Joann Ginal', 'Kyle Brown', 'Javier Mabrey']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","The bill requires all private insurance companies to provide coverage for the treatment of the chronic disease of obesity and the treatment of pre-diabetes, including coverage for intensive behavioral or lifestyle therapy, bariatric surgery, and FDA-approved anti-obesity medication. No later than January 2025 The bill requires the department of health care policy and financing (department) to seek federal authorization to provide treatment for the chronic disease of obesity and the treatment of pre-diabetes. Within existing appropriations and upon receiving federal authorization, the department is required to notify medicaid members in writing about the availability of the treatment. (Note: Italicized words indicate new material added to the original summary; dashes through words indicate deletions from the original summary.) (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.) ",False,False,False
Prevent Workplace Violence in Health-Care Settings,Concerning methods to prevent workplace violence in certain health-care settings.,HB24-1066,2024 Regular Session,"['Health Care & Health Insurance', 'Labor & Employment']","['Eliza Hamrick', 'Lorena García', 'Dafna Michaelson Jenet', 'Julie Gonzales']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': []}","The bill enacts the ""Violence Prevention in Health-care Settings Act"", applicable to hospitals, freestanding emergency departments, nursing care facilities, assisted living residences, and federally qualified health centers, and the ""Violence Prevention in Behavioral Health Settings Act"", applicable to comprehensive community behavioral health providers. Both acts require each of these facility types to: Establish a workplace violence prevention committee to document and review workplace violence incidents at the facility and develop and regularly review a workplace violence prevention plan (plan) for the facility; Adopt, implement, enforce, and update the plan; Provide training on the plan and on workplace violence prevention; Submit biannual workplace violence incident reports to the department of public health and environment or the behavioral health administration, as applicable; and If a workplace violence incident occurs, offer post-incident services to affected staff. The bill specifies the required components of facility plans. Facilities are prohibited from discouraging staff from contacting or filing an incident report with law enforcement. The bill also prohibits retaliation, discipline, or discrimination against a person who reports a workplace violence incident in good faith, who advises a staff member of the right to report an incident, or who chooses not to report an incident. (Note: This summary applies to this bill as introduced.) ",False,False,False
Workplace Suicide Prevention Education,Concerning suicide prevention education in the workplace.,HB24-1015,2024 Regular Session,"['Health Care & Health Insurance', 'Labor & Employment']","['Stephanie Vigil', 'Dafna Michaelson Jenet']","{'House': ['Business Affairs & Labor', 'Appropriations'], 'Senate': []}","The bill requires the division of labor standards and statistics in the department of labor and employment to create and make available to employers suicide prevention education posters and notices. Starting July 1, 2025, employers are required to display the suicide prevention education posters in their workplaces and certain employers are required to include the suicide prevention education notices in documents provided to employees. The office of suicide prevention within the department of public health and environment must create a website to provide information about workplace suicide prevention. The bill requires the suicide prevention education posters to include a quick response (QR) code and a website link to connect to the website.(Note: This summary applies to this bill as introduced.) ",False,False,False
Analysis of Universal Health-Care Payment System,"Concerning consideration of a statewide universal health-care payment system, and, in connection therewith, creating an analysis collaborative for the purpose of advising the Colorado school of public health in conducting an analysis of draft model legislation concerning a statewide universal health-care payment system and making an appropriation.",HB24-1075,2024 Regular Session,"['Health Care & Health Insurance', 'Insurance', 'Public Health']","['Karen McCormick', 'Andrew Boesenecker', 'Janice Marchman', 'Sonya Jaquez Lewis']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","The bill requires the Colorado school of public health to analyze draft model legislation for implementing a single-payer, nonprofit, publicly financed, and privately delivered universal health-care payment system for Colorado that directly compensates providers. The Colorado school of public health must submit a report detailing its findings to the general assembly by October 1, 2025 December 31, 2025 . The bill also creates the statewide health-care analysis advisory task force collaborative (""analysis collaborative"") consisting of 21 members appointed 20 members invited by the general assembly and the governor executive director of the department of health care policy and financing, four members of the general assembly appointed by the president of the senate, minority leader of the senate, speaker of the house of representatives, and the minority leader of the house of representatives , as well as executive directors of specified state departments, the commissioner of insurance, and the chief executive officer of the Colorado health benefit exchange or any designees of the executive directors, the commissioner, and the chief executive officer. The advisory task force  analysis collaborative is created for the purpose of advising the Colorado school of public health during the analysis. (Note: Italicized words indicate new material added to the original summary; dashes through words indicate deletions from the original summary.) (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.) ",False,False,False
Alcohol Impact & Recovery Enterprise,"Concerning the creation of the Colorado alcohol impact and recovery enterprise, and, in connection therewith, making an appropriation.",SB24-181,2024 Regular Session,"['Fiscal Policy & Taxes', 'Health Care & Health Insurance', 'Liquor, Tobacco, & Marijuana', 'State Revenue & Budget']","['Kevin Priola', 'Chris Hansen', 'Chris deGruy Kennedy', 'Judy Amabile']","{'House': ['Finance'], 'Senate': ['Finance', 'Appropriations']}","The bill creates the Colorado alcohol impact and recovery enterprise (enterprise) in the department of revenue behavioral health administration in the department of human services to: Collect a fee from manufacturers and wholesalers that distribute alcohol within Colorado; and Use the fee for alcohol and related substance use disorder prevention, early intervention, treatment, harm reduction, and recovery services and programs in communities throughout the state. The bill exempts small manufacturers and wholesale distributors of alcohol based on production and distribution level amounts for which a manufacturer or distributor may pay reduced tax or claim an exemption under federal law beverages. The bill also: Creates the alcohol impact enterprise board and specifies membership and duties of the board; and Requires the state auditor to conduct an audit of the enterprise in the 2030-31 state fiscal year and every fourth state fiscal year thereafter. The bill also exempts the enterprise from the prohibition on an enterprise receiving more than $100,000,000 in revenue in fees in the enterprise's first 5 fiscal years without first receiving voter approval. (Note: Italicized words indicate new material added to the original summary; dashes through words indicate deletions from the original summary.) (Note: This summary applies to the reengrossed version of this bill as introduced in the second house.) ",False,False,False
Maximum Number of Employees to Qualify as Small Employer,Concerning a change to the maximum number of employees that an employer may employ to qualify as a small employer for health-care insurance coverage.,SB24-073,2024 Regular Session,"['Business & Economic Development', 'Health Care & Health Insurance', 'Labor & Employment']","['Jim Smallwood', 'Robert Rodriguez', 'Elizabeth Velasco', 'Brianna Titone']","{'House': ['Health & Human Services'], 'Senate': ['Health & Human Services']}","For the purpose of providing health insurance coverage, current law defines a ""small employer"" as any individual, firm, corporation, partnership, or association that employs between one and 100 employees during a calendar year. Effective January 1, 2026, the act amends the definition to define a ""small employer"" as any person that employs an average of at least one but not more than 50 employees during a calendar year. An employer that has a small group health benefit plan before January 1, 2026, and would no longer qualify as a ""small employer"" under the changes made by this act may elect to keep their small group health benefit plan for 5 years after the date of issuance. Such employer may also switch between small group health benefit plans offered by the carrier during those 5 years, but may only switch to plans that are one metal level above or below their existing plan. Once an employer elects to enter the large group health benefit market, the employer may not return to the small group health benefit market within the 5-year period. The act requires the commissioner of insurance to conduct an actuarial review of rate filings submitted by insurance carriers that offer small group health benefit plans to determine whether the change to the definition of ""small employer"" made by the act would increase premiums for the majority of individuals covered by small group health benefit plans by more than 3%. If the premiums would increase by more than 3%, then the change to the ""small employer"" definition made by the act is repealed. ","May 1, 2024","January 1, 2026",False
Update Medicaid Member Terminology,Concerning updating the terminology that refers to an individual who is enrolled in the state medical assistance program.,SB24-176,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Joann Ginal', 'Nick Hinrichsen', 'Elisabeth Epps', 'Barbara McLachlan']","{'House': ['State, Civic, Military, & Veterans Affairs'], 'Senate': ['State, Veterans, & Military Affairs']}","Current law refers to a ""member"", ""client"", ""consumer"", and ""recipient"" interchangeably when referring to an individual who is enrolled in the state medical assistance program (medicaid). The act updates the terminology to refer only to medicaid ""members"". ","May 1, 2024","August 7, 2024",False
Fee Changes Health-Care Cash Funds,Concerning license fees payable to health-care cash funds.,HB24-1417,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Shannon Bird', 'Emily Sirota', 'Jeff Bridges', 'Barbara Kirkmeyer']","{'House': ['Appropriations'], 'Senate': ['Appropriations']}","The act establishes the amounts by which the state board of health in the department of public health and environment (department) may increase the fees payable to the health facilities general licensure cash fund, the assisted living residence cash fund, and the home care agency cash fund. The fees are increased up to 8% in state fiscal year 2025-26; 6% in state fiscal years 2026-27, 2027-28, and 2028-29; and, in each fiscal year thereafter, an amount based on the percentage change reflected in the prior year's consumer price index. The act requires the state auditor to audit the efficiency of the department's use of the facility fees. ","April 29, 2024","July 1, 2024",False
Health Facility Topical Medication Continued Care,Concerning the provision of a facility-provided topical medication to a patient for the continuity of the patient's treatment after a surgical procedure.,SB24-087,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Kyle Mullica', 'Perry Will', 'Lindsey Daugherty', 'Mary Bradfield']","{'House': ['Health & Human Services'], 'Senate': ['Health & Human Services']}","The act allows a health-care provider, a health-facility, and a hospital pharmacy to provide a patient with certain facility-provided medications if the medication is required for continued treatment, the medication does not contain a controlled substance, and the medication was administered to the patient during the patient's visit to the health-care provider or health facility. The health-care provider, health facility, or pharmacy that provided the medication to the patient is required to label the medication and to counsel the patient regarding the proper use of the medication. ","April 22, 2024","April 22, 2024",False
Providing Veterinary Services Through Telehealth,Concerning the provision of veterinary services through telehealth.,HB24-1048,2024 Regular Session,"['Agriculture', 'Health Care & Health Insurance', 'Professions & Occupations', 'Telecommunications & Information Technology']","['Karen McCormick', 'Matthew Martinez', 'Joann Ginal', 'Byron Pelton']","{'House': ['Agriculture, Water & Natural Resources'], 'Senate': ['Agriculture & Natural Resources']}","The act concerns the use of telehealth to provide veterinary services. The act defines different types of telehealth tools that can be used in a veterinary practice. In current law, one criterion for the establishment of a veterinarian-client-patient relationship is that the veterinarian has conducted an examination of the animal that is the patient. The act clarifies that the examination must be an in-person, physical examination. The act also extends the veterinarian-client-patient relationship to other licensed veterinarians who share the same physical premises as the veterinarian who established the relationship if the other veterinarians have access to and have reviewed the patient's medical records. The act allows a licensed veterinarian who has established a veterinarian-client-patient relationship to use telehealth to provide veterinary services to clients and patients in Colorado with the consent of the client. A licensed veterinarian may also refer a patient to a veterinary specialist, who may provide veterinary services via telemedicine under the referring veterinarian's veterinarian-client-patient relationship. The act authorizes the state board of veterinary medicine to establish rules for the use of telehealth to provide veterinary services. The act clarifies that only a licensed veterinarian with an established veterinarian-client-patient relationship may prescribe medication using telemedicine. The act allows a licensed veterinarian who has established a veterinarian-client-patient relationship to supervise a registered veterinary technician who is not located on the same premises using telesupervision if the veterinarian and the registered veterinary technician are employees of the same veterinary practice location, the veterinary professionals are licensed or registered in Colorado, and the patient is located in Colorado. The act establishes record-keeping, confidentiality, and privacy requirements related to the use of telehealth. ","April 19, 2024","August 7, 2024",False
Appropriation to the Department of Health Care Policy and Financing for Denver Health,Concerning making an appropriation to the department of health care policy and financing for payments to the Denver health and hospital authority.,HB24-1401,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Shannon Bird', 'Emily Sirota', 'Rachel Zenzinger', 'Barbara Kirkmeyer']","{'House': ['Appropriations'], 'Senate': ['Appropriations']}","For the 2023-24 state fiscal year, the department of health care policy and financing (department) distributed money appropriated for a supplemental state payment to the Denver health and hospital authority (Denver health). The act authorizes the department to continually distribute any money appropriated by the general assembly for payment to Denver health. For the 2024-25 state fiscal year, the act appropriates $5 million to the department for payments to Denver health. ","April 18, 2024","April 18, 2024",False
Discounted Care for Indigent Patients,"Concerning discounted care for indigent patients, and, in connection therewith, repealing the Colorado indigent care program, creating the hospital discounted care advisory committee, and addressing disproportionate share hospital payments.",HB24-1399,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Emily Sirota', 'Rick Taggart', 'Jeff Bridges', 'Barbara Kirkmeyer']","{'House': ['Appropriations'], 'Senate': ['Appropriations']}","The act repeals the ""Colorado Indigent Care Program"" on July 1, 2025. For purposes of comprehensive primary care services, current law defines an ""uninsured or medically indigent patient"" as a patient whose yearly family income is below 200% of the federal poverty line (FPL). The act requires the patient's annual household income to be at or below 200% of the FPL. Beginning February 1, 2026, and each February 1 thereafter, the act requires the executive director of the department of health care policy and financing (state department) to prepare and submit an annual report to the general assembly, the joint budget committee, the governor, and the medical services board concerning the status of the primary care fund. The act creates the hospital discounted care advisory committee in the state department to advise the state department on the operations and policies of health-care billing for indigent patients. The act repeals the advisory committee on September 1, 2029. No later than July 1, 2025, the act requires the medical services board, in consultation with the Colorado healthcare affordability and sustainability enterprise, to promulgate rules concerning the policy for qualification for disproportionate share hospital payments. ","April 18, 2024","July 1, 2025",False
Medicaid Eligibility Procedures,Concerning medicaid eligibility procedures.,HB24-1400,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Shannon Bird', 'Emily Sirota', 'Barbara Kirkmeyer', 'Rachel Zenzinger']","{'House': ['Appropriations'], 'Senate': ['Appropriations']}","Current law suspends certain provisions related to medicaid eligibility until June 1, 2024. The act extends the suspension of those provisions until January 1, 2025. The act authorizes the department of health care policy and financing (state department) to seek federal authorization to not require additional verification during a medicaid member's (member) eligibility reenrollment process if information about the member's income or assets is not verified through a federally approved electronic data source. For a member's income verification, the act authorizes the state department to use the information on file or the information that was originally collected during the application process to determine whether the member is eligible for reenrollment. The state department shall require additional income verification if information about a member's income is not verified through a federally approved electronic data source for 2 or more consecutive years or as specified through federal authorization. For a member's asset verification, the state department may complete the member's eligibility reenrollment process without any additional asset verification if there has been no change in the member's assets since the initial verification during the application process or as specified through federal authorization. The act authorizes the state department to seek federal authorization to delay a member's procedural termination during the reenrollment process to allow the member to continue receiving necessary services during the reenrollment process. The act authorizes the state department to apply this delay in procedural termination to a specific population or as specified through federal authorization. The act authorizes the state department to seek federal authorization to allow an applicant's or member's eligibility for reenrollment to be based on financial findings from the supplemental nutrition assistance program, the temporary assistance for needy families program, and other means-tested benefit programs administered through the Colorado benefits management system. The state department may apply financial eligibility for medicaid to individuals whose gross income program and assets for applicable means-tested benefit programs are below applicable medicaid limits, regardless of differences in household composition and income-counting rules between programs or as specified through federal authorization. ","April 18, 2024","April 18, 2024",False
